Letter ID,Sentence
ASCC 1126,"brauche märz april – spanischen tournee – 2000 schillinge bitte sie, vorschüsse laufende jahresabrechnung oder, wäre, gestreckterer verrechnung (so früher, eingängel geringer waren) bewilligen."
ASCC 1126,"hoffe umso sicherer, hiebei schwierigkeiten werden, während langen besprechungen übervun regulierung verträge stets bedingung gestellt habe, „jahresbetrag“ notfall vorschuss bekomm können muss, seinerzeitigen vertragsent würfe zugestanden haben."
ASCC 1126,"überzeugt, erinnerung nötig rechnen darf, bezeugte freundschaft genügend garantie kann, diesmal fehlbitte werde."
ASCC 1126,"wissen, augenblicklich lasten habe, allgemein schwierig erwerbslage abhängigen angehörigen schwer macht, erhalten; selbst, ausfälle letzte anstrengung gegner immerhin insoferne nige materielle erfolgre erzielt hat, igen dert."
ASCC 1126,denke: saison kampf gunsten entschieden allgemeine lage gebessert haben.
ASCC 1126,obenauf.
ASCC 1126,verdiene fünf engagements fehlt!
ASCC 1126,"möchte gerne dienstag übermorgen mittwoch mittags bitte eventuell telephonisch sagen lassen, ist."
ASCC 1133,"anbei rechnung dr , ."
ASCC 1133,reines.
ASCC 1133,sanatorium wiener curanstalt erhalten tagen.
ASCC 1133,.
ASCC 1133,"rechnungen, begleichung ue letzt herrn direktor verabredet habe."
ASCC 1133,für bereitstellung monatsgeldes.
ASCC 1133,nb.
ASCC 1133,neulich blatt probe druck „gl.
ASCC 1133,hand“ kritischen weisungen geschickt.
ASCC 1133,unge fähr 10 probedruck bekommen.
ASCC 1133,"unbegreiflich, falsch konnte!"
ASCC 1133,möchte gerne abreise gebracht wissen.
ASCC 114,"schrieb seinerzeit, monodram „erwartung“ mannheim hoftheater uraufführung gelangen ersuchte erklärung erwerben wollen."
ASCC 114,"hole anfrage, unbeantwortet ließen, stelle bedingungen: sende noten textbuch ."
ASCC 114,"ihnen, drängt neigung verschleppen kenne termin stellen."
ASCC 114,"müssen einsehen, unmöglich geschädigt werden."
ASCC 114,"aufführung mitte februar soll, klavierauszug rechtzeitig aufliegen."
ASCC 114,"annehmen, werk reflektieren, 10 (d. i. 9."
ASCC 114,"jänner 1910 ) mitgeteilt haben, bedingungen einverstanden betrag 300 mark angewiesen, 200 mark abgeschrieben ist."
ASCC 114,"wendung, zweck könnte hinauszuschieben, ablehnung ansehen müssen."
ASCC 114,"uebrigens, pelleas?"
ASCC 114,"schrieben, bedingungen schienen annehmbar, sagten direktor herzka universal ed."
ASCC 114,"müsste gewisse bedingungen erfüllen, mitgeteilt haben."
ASCC 114,bedingungen sein?
ASCC 114,bedeuten?
ASCC 114,angelegenheit selben termin stellen (9 jänner 1910) nedbal werk für nächstes wünscht durchstudieren will.
ASCC 114,bitte darüber entscheiden.
ASCC 114,"jänner 1910 zusagende antwort, über werk weitig verfügen, leere drohung ist; soll."
ASCC 114,"absicht stets ferne gelegen wäre froher gewesen, ich, hätten miteinander auskommen können."
ASCC 114,"hoffe, nehmen nötige energie übel."
ASCC 114,reine kommen.
ASCC 114,"dmoll quartett gedruckt, schädigt ungemein."
ASCC 1142,"august musikfest venedig fahre, möchte zirka 2r 25 ."
ASCC 1142,"d. m. monatsgeld beheben bitte freundlichst, bereit stellen."
ASCC 1142,"– ferner bitte sie, herrn bechert suchen, i. g. f. n. m. möge ie musikern teilen, spätestens 27. d. m. proben muss, absagen müsste."
ASCC 1142,herrn pollatschek eventuell probe verzichten.
ASCC 1142,müssen probe sein.
ASCC 1142,"venedig müssen alle, sänger, mindestens aufführung für proben verfügung stehen."
ASCC 1142,"september 1925, venedig, teatro la fenice, internationale gesellschaft für musik, kammermusikfest internationalen gesellschaft für musik mario labroca, streichquartett nr."
ASCC 1142,"1 artur schnabel, sonate für klavier ralph vaughan williams, merciless beauty arnold schönberg, serenade op."
ASCC 1142,"24 josef schwarz, bariton; victor polatschek, klarinette; leopold wlach, bassklarinette; fanny slerak, mandoline; hans schlagradl, gitarre; rudolf kolisch, violine; marcel dick, viola; wilhelm winkler, violoncello; arnold schönberg, dirigent (programm, september 1925; asci cp5595)"
ASCC 1145,"lage, über ueberset zung entscheidendes urteil abzugeben."
ASCC 1145,"schülerhaften eindruck, weiss nicht, ist."
ASCC 1145,"bittee, herrn clark einzuschicken; sinn für derlei aufführung macht, fragen."
ASCC 1145,"uebri gens bekannten herr calvacorezzi geschlagen, arbeit erwar ten wäre."
ASCC 1145,"herrn clark verabredet, chöre übersetzt sollen, möchte (und müsste) sofort beginnen, chöre studieren."
ASCC 1145,bitte veranlassen.
ASCC 1145,anbei korrektur.
ASCC 1145,früheren abzug erhalten.
ASCC 1145,"herr löwy ge schickt hätte, wäre pflicht gewesen, urgieren, unerledigt lasse."
ASCC 1145,beidem jedenfalls getan sachen ewig heraus.
ASCC 1145,"lust verloren verliere definitiv geduld: schwerlich entschliessen ö nnen, ue drucklegung geben, tempo weitergeht."
ASCC 1145,bitte beiliegenden brief erledigen.
ASCC 1148,nachricht über bestellte notenpapier!
ASCC 1148,brauche insbesondere partiturpapier dringendst!
ASCC 1148,"rascher erledigt, sage, aufgehalten bin?"
ASCC 11564,"dachte schon, stich quartettstimmen gelegen, rosé-quartett verfügung gestellten stimmen , röder zurückfordern mussten, röder zurückgeschickt haben."
ASCC 11564,gewisse absichtlichkeit beschloss autor!
ASCC 11564,packen material schicken unverzüglich c. g. röder leipzig.
ASCC 11564,"klar darüber würden, natur gemäss drucklegungen gleichsam „honoris causa“ unterneh men, leisen hoffnung gewinn sagen zehnten, könnten über geschäftliches leichter verständigen!"
ASCC 11564,fried pelleas voraussichtlich .
ASCC 11564,f. programm für nächsten winter veröffentlicht; „pelleas melisande“ enthalten.
ASCC 11564,schade.
ASCC 11564,mahler verdorben.
ASCC 11564,"wundervolle ostsee, sodass heim kehr, montag erfolgen sollte, verschieben werden."
ASCC 11564,"freue hören, angenehmen sommer verlebt ."
ASCC 11564,haben.
ASCC 11564,lassen hören.
ASCC 11564,brauchen groll verlag auszu dehnen.
ASCC 11565,– reise – verzögerung.
ASCC 11565,"ausschnitte schickten, könnte viell."
ASCC 11565,für artikel ver wenden.
ASCC 11565,neujahrwunsch erwidere herzlichst!
ASCC 11565,radau ha ben übrigens meinung ausschliesslich jünglinge schuld!
ASCC 11565,müssen nächste eintritt verwehren.
ASCC 11565,"max marschalk bezieht skandal anlässlich uraufführung arnold schönberg, streichquartett nr."
ASCC 11565,2 op.
ASCC 11565,rezensenten berichten provokationen demonstrativen beifallsbekundungen „jünglinge“ bzw.
ASCC 11565,„schönbergjünglinge“ (reichspost 1908).
ASCC 11565,"sammlung rezensionen: eybl 2004, s. 177–278"
ASCC 11566,"wunsche entsprechend sende anbei partitur pelleas melisande zurück, , besitz war."
ASCC 11566,"teilen bitte mit, werk aufgeführt soll."
ASCC 11566,betreffenden material gratis leihgebühr erhalten?
ASCC 11566,"– möchte streng vertraulich mitteilen, verlag wahrscheinlich innerhalb mo nats hände übergehen wird, zeitpunkt grössere bewegungsfreiheit werde.. hoffe, über druckleg ung werke schnell können."
ASCC 11566,"bitte geduld; schicken inzwischen ren arbeiten , kenne."
ASCC 11566,"briefstelle einzige hinweis existenz partitur, genannte quelle herstellungszeitpunkt eruiert werden."
ASCC 11566,"nachgewiesene quellen: partiturreinschrift, autograph (asga 10, quelle c) partiturabschrift, möglicherweise autograph; autographiervorlage für erstdruck, verschollen (asga 10, quelle g*) anbei partitur pelleas melisande"
ASCC 11569,guten erfolg für !
ASCC 11569,"böse, warten lasse."
ASCC 11569,ih nen netten brief schreiben; fand gedrang geschäfte zeit.
ASCC 11569,14 verreist.
ASCC 11570,14 reise.
ASCC 11570,daher!
ASCC 11570,"fried, traf, jammert klavier-auszug p. u. m. schüler aufopfern möchte."
ASCC 11570,münchen blick turm rathauses westen
ASCC 11571,hass fall auseinan dergehen; liegt grund vor!
ASCC 11571,"vertrauen ih nen sagen, herr messner, musi kalischer über geld verfügt; kaufmän nisch erfahren, zudem beraten offenbar steinrei chen schwiegervater, wahrscheinlich stark für verlag interessieren wird."
ASCC 11571,also: eile weile!
ASCC 1162,reiflicher ueberlegung: instrumentation moussorgsky-klavierstücke für balletzwecke wiener oper machen.
ASCC 1162,"entscheidende grund ist, stil fremd national-russischen gebiet, strawinskys domäne liegt, äusserst befangen unsicher bewegen, wahrscheinlich phantasie beengt fühlen dürfte, herauskommen könnte, namen setzen darf."
ASCC 1162,"zuende geprüft, gabe für künstlerische dreimäderlhausregion begebe."
ASCC 1162,"desgleichen nicht, (in ein) verhältnis staatsoper treten soll."
ASCC 1162,"vor, strawinsky richtige könnte, bartok."
ASCC 1162,"zemlinsky lust, würde sowas großartig machen."
ASCC 1162,natürlich webern!
ASCC 1174,letzten monaten unerwarteter weise abzüge einkommensteuer hinnehmen müssen (es 20 % einkommens) knapp worden.
ASCC 1174,"dringende zahlungen rückstand geblieben, bitte umgehend leisten."
ASCC 1174,"konto zwischenzeit bischen befreit, wes halb bitte, beträge general konto schreiben."
ASCC 1174,"nächsten nachricht bekommen, suite fertig höchstwahrscheinlich jahrhalb halbjahr orchesterwerk angefangen , beendet sein."
ASCC 1174,diesmal nette gegenleistungen herzlich beglückwünsche.
ASCC 1174,ernst: suite glaube sogar ansprechendes stück orchesterstück mindestens werden.
ASCC 1174,zahlungen leisten: gesamtbet.
ASCC 1174,"1423.72.– voraus herzlich danke, bitte umgehende erledigung zeitige verständigung leider dringend ist."
ASCC 1179,letzten ma nuskripte opus 27 u.
ASCC 1179,28 senden.
ASCC 1179,"abschriften umso aufgehalten, dergleichen grösster unlust höchstens drittgrösstem fleiss tue."
ASCC 1179,glück giebt akademie derzeit brot tun; wäre fertig.
ASCC 1179,"hinkunft niederschriften einrichten, sie, photographiert druckvorlage dienen können."
ASCC 1179,"arbeit vorwort gemacht, wiener fassung zweimal umgearbeitet habe, verwerfen schreiben, zweimal überarbeitet habe."
ASCC 1179,"ziem lich zufrieden, tummle jedenfalls, schreibe neue."
ASCC 1179,– gefällt eigentlich überraschend gut.
ASCC 1179,"achtet wirklich: gewöhnt einbilden, verdiene."
ASCC 1179,"meisten theater freikarten bekommen, während wien abgewiesen bin."
ASCC 1179,"schrekers verkehren gern, kerl kamerad nett."
ASCC 1179,"schnabel beisammen, walter, schünemann , kestenberg etc."
ASCC 1179,– hoffe freundlich greissle affä affäre re günstig erledigen: insbesondere verspreche abschreckende einwirkung kugel.
ASCC 1179,lesen bitte greissle bischen gelesenen leviten.
ASCC 1179,"angelegenheiten höchst unerfreulich, eini ger achtsamkeit gehalt leben können!"
ASCC 1179,"pension zufrieden finden angenehm bekannte begrenzte ausgaben haben, bleiben werden."
ASCC 1179,– berlin?
ASCC 1179,beste grüße frau.
ASCC 1186,"anbei sende aufsatz für pult sowohl, für taktstock."
ASCC 1186,"diskussion, stattgefunde hat, angeregt worden; sicher bin, herr chefredakteur irgendeinem unbekannten grunde (einem wiesengrunde z."
ASCC 1186,b.)
ASCC 1186,"bös hält +++hochverehrete bruch-redaktion, sende direkt, altgewohnter weise wolwollen nachsicht finden hoffe."
ASCC 1186,"aufsatz kommt, obwohl ist, diesmal mei nem namen nichtswürdigen plagiators jens quer."
ASCC 1186,"– bitte teilen gütigst mit, ange nommen wurde."
ASCC 1186,über schlafen kön nen aufregung!
ASCC 1186,bitte legen für fälle wort für herrn dr. stein ein.
ASCC 1186,"gelegenheit frage male: betrag tischer u. jagenberg, hofmeister überwiesen hat, pelzhaus horovitz gezahlt?"
ASCC 1186,erhielt antwort!
ASCC 1187,"sohn schrieb vori gemal, ihnen, monatsgeld holen kam, barsch behandelt mehrere male musste."
ASCC 1187,diesmal scheint für beson ders sträflich gehalten scheinbar grober weise abgewiesen.
ASCC 1187,"somit ge fälligkeit ue kann, verzichte hie geldsendungen nunmehr direkt be sorgen."
ASCC 1187,"sagen, staune darüber wähnen, geglaubt hätte, würde bote aufgenommen, boten aufnehme."
ASCC 1187,"weiss betreffende herr war, sohne gegenüber grossartig vorkommt: , berechtigt wäre, gegenüber annähernd ebensogrossartig fühlen, sicher kosten lassen."
ASCC 1187,"machen; prinzip aufrecht hal ten: freundlich sein, möglich ist."
ASCC 1187,"darüber beschweren, letzten hefte anbruch geschickt hat, obwohl ihj mehreremale gebeten habe."
ASCC 1187,"jahrbuch exemplar geschickt, mitarbeiter meh rere anspruch kann."
ASCC 1187,"bitte 2 exem pl plare senden paar separatabdrucke artikels, für mappen benötige."
ASCC 1187,"bitte teilen mit, chöre stich sind."
ASCC 1187,wort über for mat stichanordnung.
ASCC 1187,usus.
ASCC 1187,"kantate bedacht, dass, klavierbe gleitung ist, partitur muss, spielen kann?"
ASCC 1187,"stich übermässig sein, gewöhnt hat, klei neren noten spielen."
ASCC 1187,(bis gesundheit) gut.
ASCC 1187,ihnen?
ASCC 1187,"gedacht, februar sehen!"
ASCC 1189,bitte falls herr 1.
ASCC 1189,"tischer & jagenberg hofmeister für 42 mark 15 bezahlen sollte, wäre betrag pelzhaus e. horovitz & cie wien i. neuer markt 13 schicken."
ASCC 1189,"glaube abreise ge beten, verständigung, geschehen ."
ASCC 1189,"hätte gerne, 2."
ASCC 1189,chöre rasch herauskom men.
ASCC 1189,"überzeugt, interesse dafür wird."
ASCC 1189,beschleunigen?
ASCC 1189,höre 3.
ASCC 1189,texten .
ASCC 1189,4. exempla re definitiven ausstattung geschickt werden!
ASCC 1189,dafür propaganda?
ASCC 1189,"verabredet, buch buchverlag mitvertrieb übergeben wird."
ASCC 1189,"glaube, müsste, kürzester paar tausend exemplare abzusetzen, hiefür leute interessieren lassen, musik wissen!"
ASCC 1189,.
ASCC 1189,"jahrbuch erhalten, schön herrn heinsheimer ist, trotz kra kheit rechtzeitig beiträ ge geliefert habe."
ASCC 1189,"– gerne erführe ihnen, angele genheit 6."
ASCC 1189,"greissles über beunruhigt bin, geordnet ist, schulden beglichen, versetzt nb sachen (andenken!)"
ASCC 1189,"ausgelöst sin d, zinsen fressen schliesslich auf."
ASCC 1189,"hoffe bestimmt, herrn kugel, jedenfalls dunkle erscheinung ist, tüchtig unterdrücken."
ASCC 1189,bitte schreiben günstiges hierüber.
ASCC 1189,beginne suite fertig machen.
ASCC 1189,"glück habe, 4–5 wochen fall sein."
ASCC 1189,"inzwischen neuem arbeiten begonnen, text einergrösseren kantate (ca 40–45' dauer)."
ASCC 1189,schreibe lieder.
ASCC 1189,– auszahlung frl.
ASCC 1189,novakovic für görgi wahrscheinlich geleistet.
ASCC 1189,(heute gieng mehr) zahle betreffenden betrag (250 sch.)
ASCC 1189,ein.
ASCC 1189,"auszahlung greissle unterbleibt solange, gegenteili ges erbitten werde."
ASCC 1189,"– herr dr. heinsheimer ersucht, artikel jahrbuchs für flugblätter überlassen."
ASCC 1189,finde für zweck ungeeignet würde artikel extra dafür schreiben.
ASCC 1189,könn te anbruch (warum zugeschickt?)
ASCC 1189,scheinen.
ASCC 1189,"angefangen, umfangreicher."
ASCC 1189,menge geschrieben.
ASCC 1189,hoffentlich höre nettes wien.
ASCC 1197,"„anfrage“ stecherei, stich begonnen hat, finde komisch!"
ASCC 1197,wäre früher entscheiden gewesen!
ASCC 1197,"stechzeug systeme seite giengen, könnte folgendes tun."
ASCC 1197,i. eventuell chornoten grad nehmen.
ASCC 1197,"dann, für dirigenten sind!"
ASCC 1197,ii.
ASCC 1197,notfalls könnte höchstens streichinstru mente (aber jedenfalls grösse chorstimmen) machen.
ASCC 1197,"(die chorstimmen brauchen aufzufallen, andere; dirigent chören meisten probieren muss, kennt partitur sicht ohnedies besten)."
ASCC 1197,iii.
ASCC 1197,"müsste entschliessen, begleitungsstim men stechen (was ungünstig fände) gienge nur, extra stimme für klavierspieler heraus gegeben würde."
ASCC 1197,"müsste klavierstimme gestochen sein, klavierquintetten, chor- streicherstimmen entsprechend kleiner."
ASCC 1197,selbstverständ lich partitur!
ASCC 1197,"für herausgabe stimme sehr, aufführenden exemplare opus kaufen müssten."
ASCC 1197,eigentlich zweierlei schriften dirigierpartitur.
ASCC 1197,hätte grösseres format vornherein wählen sollen.
ASCC 1197,stich könnte alsdirigierpartitur genommen werden.
ASCC 1197,spielstim me (daran scheint stecherei gedacht haben) ohnedies fast klein.
ASCC 1197,systeme letzten stück unbedingt seite stehen.
ASCC 1197,achtung: bitte seite systeme bringen betreffenden stimmen pausen haben.
ASCC 1197,partitur gewöhnt differierende notenbilder.
ASCC 1197,"vorschlag, quartformat drucken einverstanden."
ASCC 1197,sieht aus.
ASCC 1197,bitte vorschläge für herstel lung stimmenmaterials.
ASCC 1197,"lege probeseite bei, brief fortgeht."
ASCC 1197,bitte beschleunigen stich aufs äusser ste.
ASCC 1197,"unmöglich, heuer aufführung mache."
ASCC 1203,"bitte veranlassen sie, honorar für letzten artikel sofort gesandt an: horovitz & cie, wien neuer markt 13 zahlung benachrichtigt werde."
ASCC 1203,denke titel „mechanische musikinstrumente“ passt gut.
ASCC 1203,gedacht antworten rundfragen einreihen werden.
ASCC 1203,sie?
ASCC 1203,schreiben öfters!
ASCC 1203,betrag für lisztband schuldig?
ASCC 1203,eventuell könnte konto geschrieben werden.
ASCC 1203,internationalen musik-banda tun?
ASCC 1205,"aufsatz fürs jahrbuch übergab, ersuchte vereinbarte honorar (250 m) firma e. horovitz co. pelzhaus, wien i. neuer markt 13 bezahlen."
ASCC 1205,"erfahre mahnung, geschehen ist!"
ASCC 1205,finde unrichtig ihnen.
ASCC 1205,derlei verlassen können.
ASCC 1205,"schliess lich obwohl krank war, zugesagten artikel geschrieben."
ASCC 1205,könnten solcherart gegenleistung erfüllen!
ASCC 1205,"bitte sende umgehend betrag schicken 1. beleg für geleistete zahlung; 2. buchhaltung gutschriftsmitteilung, erhalten habe, obwohl geschrieben haben, gutschrift erscheinen jahrbuches folgen werde!"
ASCC 1205,3 gleichen bestättigungen ü ber herrn stein für pult taktstock gelieferten aufsatz.
ASCC 1205,"dinge erledigt werden, überlegen, aufsatz schicken, amerikanischen zeitung herrn bechert schicken werde, aufsatz gekürzt wurde."
ASCC 1209,korrektur 4.
ASCC 1209,stückes erhalten brief .
ASCC 1209,"dagegen, begleiteten stück extraausgabe machen, 1. 3 stücke ohnedies sind, vorziehen wird, bloss einzelne kaufen; 2. hängt stücken aufführungsfrage ab, begleitung will, davon, überhaupt zusammenbringt, sodass also, kann, zwei, keinesfalls frage begleitung entscheiden wird."
ASCC 1209,"ssen also, zunächst wenigstens, opus beisammen."
ASCC 1209,"praxis wider erwarten bedürfnis zeigen, unschwer separatausgabe anfertigen."
ASCC 1209,bitte stich beschleunigen.
ASCC 1209,"fast monate, manuskript abgeliefert hälfte erschienen."
ASCC 1209,"bitte mittei lung, möglich ist."
ASCC 1209,erhalte korrek turen heftes?
ASCC 1209,"dauert, verliert lust."
ASCC 1209,"abgesehen langsame erscheinen werke schwer geschädigt, ruhig hinnehmen kann."
ASCC 1209,"konto belastet wird, rasche absatzmöglichkeit werke möglichkeit sehen, flott bekommen."
ASCC 1209,"wahrscheinlich, kurzer suite (von sätze fertig sind, letztem arbeite) fer tig wird."
ASCC 1209,"möchte diesmal gerne, ehe werk druck gebe, probe machen."
ASCC 1209,zweck müssten stimmen oberaufsicht hergestellt werden.
ASCC 1209,"lasse herrn direktor bitten, ermächtigen betrag hiefür fertigstellung anzuweisen."
ASCC 1209,"kosten wird, weiss nicht."
ASCC 1209,partitur cirka 100 seiten.
ASCC 1209,"ben instrumente (darunter klavier), 32-tel 64-tel noten, schwere umfangreiche arbeit."
ASCC 1209,"braucht stimmen ohnedies für stich, verloren."
ASCC 1209,bitte baldige antwort.
ASCC 1210,"antworte sofort, vorwärts kommt."
ASCC 1210,über verzöge rung bös.
ASCC 1210,hätte monaten fragen können ✓ i.
ASCC 1210,"untersatz spiegelkanons durchgeführt werden, schreiben, also: längere note mitte nächst kürzere."
ASCC 1210,✓ ii.
ASCC 1210,"text hinge gen kann, manuskript, normal ge stochen werden, tatsache notenumkehrung entnehmen braucht, worte umge kehrt."
ASCC 1210,✓ iii.
ASCC 1210,(wie konstatieren) heissen: spruch variationen über ihn.„drei“ falsch.
ASCC 1210,dank!
ASCC 1210,✓ iv.
ASCC 1210,"kopiatur suite möchte berlin nehmen lassen, hiefür kapellmeister schmied verfügung, ausgezeichnete arbei guten dienst leisten parti tur korrigieren wird."
ASCC 1210,"riskieren, manuskript post schicken, neuanfertigung partitur zuviel mühe würde."
ASCC 1210,"herr schmied übrigens versprochen, berliner preise berechnen, ge ringerem satz zufrieden geben, arbeit für ue teuer kommt, revisions gelder ersparen wird."
ASCC 1210,"bitte teilen umgehend höchstbetrag, pro seite zahlen wollen, mit."
ASCC 1210,"vergessen nicht, noten teuersten sind, note 2–3 zeichen ste hen, einteilung eher schwierig ist."
ASCC 1210,"soviel verlieren, wien zurück wien arbeit entschliesst, längst fertig damit."
ASCC 1210,arbeiten ue sch scheinbar eilig.
ASCC 1210,bitte beschleunigen wirklich.
ASCC 1211,bestätige betrag m. 300 (dreihundert) erhalten erhalt ausstehenden summe bestätigen.
ASCC 1214,= dratet brief ersuchen rechnungen bezahlen erhalten erledigt habet =
ASCC 1217,anbei manuskript .
ASCC 1217,anhang „drei satiren“ 4. 5 stück.
ASCC 1217,zweck druckvorlage geändert werden.
ASCC 1217,leider exemplar hand beiläufig angeben.
ASCC 1217,"beraten sich, bitte, herr stein sies möglich."
ASCC 1217,1) text 5.
ASCC 1217,stückes texten geben.
ASCC 1217,inhaltsverzeichnis ungefähr heißen anhang: 1.
ASCC 1217,spruch 2 var.
ASCC 1217,über ihn.
ASCC 1217,canon für streichquartett 3.
ASCC 1217,legitimation canon dürfte sein.
ASCC 1217,nummerierung anhang muß offenbar geändert werden.
ASCC 1217,"weiß mehr, bestimmt habe."
ASCC 1217,gewiß schwierig.
ASCC 1217,natürlich notwendige ändern.
ASCC 1217,korrektur chöre lesen.
ASCC 1217,"zuviel tun, suite gearbeitet, 1."
ASCC 1217,mai fertig ist.
ASCC 1217,sagen herrn direktor hertzka.
ASCC 1217,muß reinschrift letzten satzes vollenden.
ASCC 1217,ans denken.
ASCC 1217,– ansätze für kopiatur suite niedrig.
ASCC 1217,"sicher, daß wien dafür bezahlen müssten."
ASCC 1217,"uebrigens handelt herausschreiben klavierstimme, klavierspieler partitur spielen muss, kammermusik klavier!"
ASCC 1217,"herrn schmidt bewogen, folgendem vorschlag einverstanden sein: berechnet honorar mark, niedriger, übliche stundenhonorar."
ASCC 1217,erhält bar ausbezalt rest noten 30 % rabatt ladenpreis.
ASCC 1217,"so, für mark schilling bar 70 groschen noten bekommt 10 mark 10 schilling noten wert 10 schilling (-30 %) hoffe einverstanden, art u. e. guten arbeit kommt, dafür bezahlen wien."
ASCC 1218,"herr schmid , engagement bekommen hat, arbeit machen."
ASCC 1218,"seite kopist empfohlen, beste berlin gilt."
ASCC 1218,"würde partitur stimmen (ca 100 seiten partitur, ca 120–150 seiten stimmen) für pauschal 130 mark abschreiben, augenblicklich arbeit ist."
ASCC 1218,"bitte postwendende antwort, geben soll."
ASCC 1218,"müsste stück probieren, instrumentalisten umsonst kann."
ASCC 1218,"kanons können druck gehen, manuskript ist."
ASCC 1218,text.
ASCC 1218,"aufführen will, helfen wissen."
ASCC 1220,"nehme an, bemerkung de neulich kontoauszug übersandt wurde, auftrag herrn direktor geschrieben wurde, fände für besser, derartiges namen unterzeichnen würde."
ASCC 1220,"hoffe, sowohl interesse, lage werden, bescheidenen forderungen abweisen müssen."
ASCC 1220,"finde wäre fast trauriger für sie, für mich. gesandten auszug betrifft, posten unerklärlich bitte mitzuteilen bedeuten."
ASCC 1220,"namen sowohl beträge unbekannt, wäre dankbar belege über zuletzt geleisteten zahlungen einsenden wollten, dringendst brauche."
ASCC 1225,frage briefes 8.vi.
ASCC 1225,": name textdichter 3 satiren blatt stehen, texte abgedruckt sind."
ASCC 1225,"titel hin: texte arnold schönberg stellen, noten, wegzunehmen."
ASCC 1225,stücken für gem.
ASCC 1225,"chor dagegen, stücken, sind, sowohl texten, noten stehen, namen textdichter."
